Rank,Tactic,TID,Technique,Percentage,Reporter,Year,Type,"extracted_Source"
10,"Credential Access",T1621,"Multi-Factor Authentication Request Generation","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
75,"Defense Evasion",T1620,"Reflective Code Loading","8.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
7,"Defense Evasion",T1620,"Reflective Code Loading","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,"Defense Evasion",T1620,"Reflective Code Loading","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
47,"Defense Evasion",T1620,"Reflective Code Loading","13.5","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
189,Discovery,T1619,"Cloud Storage Object Discovery","1.3","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
311,Discovery,T1619,"Cloud Storage Object Discovery","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
240,Discovery,T1615,"Group Policy Discovery","0.8","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
118,Discovery,T1615,"Group Policy Discovery","0.5","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
10,Discovery,T1615,"Group Policy Discovery","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
66,Discovery,"T1614.001","System Location Discovery: System Language Discovery","9.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
60,Discovery,"T1614.001","System Language Discovery","5.7","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
9,Discovery,"T1614.001","System Location Discovery: System Language Discovery","7.14",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a"
121,Discovery,"T1614.001","System Location Discovery: System Language Discovery","3.8","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
38,Discovery,T1614,"System Location Discovery","15.9","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
59,Discovery,T1614,"System Location Discovery","5.9","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
7,Discovery,T1614,"System Location Discovery","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
121,Discovery,T1614,"System Location Discovery","3.8","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
10,"Execution
Defense Evasion",T1610,"Deploy Container","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
208,"Resource Development","T1608.006","Stage Capabilities: SEO Poisoning","0.9","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
146,"Resource Development","T1608.005","Stage Capabilities: Link Target","2.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
100,"Resource Development","T1608.003","Stage Capabilities: Install Digital Certificate","6.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
207,"Resource Development","T1608.002","Stage Capabilities: Upload Tool","0.9","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
160,"Resource Development","T1608.001","Stage Capabilities: Upload Malware","2.1","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
51,"Resource Development",T1608,"Stage Capabilities","12.8","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
10,"Resource Development",T1608,"Stage Capabilities","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
311,"Credential Access","T1606.001","Forge Web Credentials: Web Cookies","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
10,"Credential Access",T1606,"Forge Web Credentials","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
311,"Credential Access",T1606,"Forge Web Credentials","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
303,Collection,"T1602.002","Data from Configuration Repository: Network Device Configuration Dump","0.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
110,Collection,"T1602.002","Data from Configuration Repository: Network Configuration Dump","0.7","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
311,Collection,"T1602.002","Network Device Configuration Dump","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
302,Collection,T1602,"Data from Configuration Repository","0.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
110,Collection,T1602,"Data from Configuration Repository","0.7","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
311,Collection,T1602,"Data from Configuration Repository","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
359,"Defense Evasion","T1601.001","Modify System Image: Patch System Image","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
10,"Defense Evasion","T1601.001","Modify System Image: Patch System Image","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
358,"Defense Evasion",T1601,"Modify System Image","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
6,Reconnaissance,T1598,"Phishing for Information","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,Reconnaissance,T1598,"Phishing for Information","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,Reconnaissance,"T1596.005","Search Open Technical Databases: Scan Databases","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,Reconnaissance,T1596,"Search Open Technical Databases","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
251,Reconnaissance,"T1595.002","Active Scanning: Vulnerability Scanning","0.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
6,Reconnaissance,"T1595.002","Active Scanning: Vulnerability Scanning","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,Reconnaissance,"T1595.002","Active Scanning: Vulnerability Scanning","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
250,Reconnaissance,"T1595.001","Active Scanning: Scanning IP Blocks","0.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
7,Reconnaissance,"T1595.001","Scanning IP Blocks","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
193,Reconnaissance,T1595,"Active Scanning","1.1","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
7,Reconnaissance,T1595,"Active Scanning","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
6,Reconnaissance,T1594,"Search Victim-Owned Websites","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,Reconnaissance,"T1593.002","Search Open Websites/Domains: Search Engines","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
6,Reconnaissance,T1593,"Search Open Websites/Domains","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,Reconnaissance,T1593,"Search Open Websites/Domains","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,Reconnaissance,"T1592.002","Gather Victim Host Information: Software","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
5,Reconnaissance,T1592,"Gather Victim Host Information","27.27",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,Reconnaissance,"T1591.001","Gather Victim Org Information: Determine Physical Locations","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
6,Reconnaissance,T1591,"Gather Victim Org Information","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,Reconnaissance,T1591,"Gather Victim Org Information","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,Reconnaissance,"T1590.006","Gather Victim Network Information: Network Security Appliances","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,Reconnaissance,"T1590.004","Gather Victim Network Information: Network Topology","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,Reconnaissance,"T1590.001","Gather Victim Network Information: Domain Properties","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,Reconnaissance,T1590,"Gather Victim Network Information","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
8,Reconnaissance,T1590,"Gather Victim Network Information","10.71",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a"
10,Reconnaissance,"T1589.003","Gather Victim Identity Information: Employee Names","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
6,Reconnaissance,"T1589.002","Gather Victim Identity Information: Email Addresses","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,Reconnaissance,"T1589.002","Gather Victim Identity Information: Email Addresses","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
6,Reconnaissance,"T1589.001","Gather Victim Identity Information: Credentials","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,Reconnaissance,T1589,"Gather Victim Identity Information","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
9,Reconnaissance,T1589,"Gather Victim Identity Information","7.14",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a"
7,"Resource Development","T1588.005","Obtain Capabilities: Exploits","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,"Resource Development","T1588.004","Obtain Capabilities: Digital Certificates","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,"Resource Development","T1588.003","Obtain Capabilities: Code Signing Certificates","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,"Resource Development","T1588.003","Obtain Capabilities: Code Signing Certificates","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,"Resource Development","T1588.002","Obtain Capabilities: Tool","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
9,"Resource Development","T1588.002","Obtain Capabilities: Tool","7.14",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a"
10,"Resource Development",T1588,"Obtain Capabilities","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
6,"Resource Development","T1587.004","Develop Capabilities: Exploits","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,"Resource Development","T1587.003","Develop Capabilities: Digital Certificates","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,"Resource Development","T1587.002","Develop Capabilities: Code Signing Certificates","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
6,"Resource Development","T1587.001","Develop Capabilities: Malware","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
8,"Resource Development","T1587.001","Develop Capabilities: Malware","10.71",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a"
10,"Resource Development",T1587,"Develop Capabilities","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,"Resource Development","T1586.002","Compromise Accounts: Email Accounts","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
6,"Resource Development",T1586,"Compromise Accounts","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,"Resource Development","T1585.003","Establish Accounts: Cloud Accounts","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
9,"Resource Development","T1585.002","Establish Accounts: Email Accounts","7.14",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a"
9,"Resource Development","T1585.001","Establish Accounts: Social Media Accounts","7.14",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-039a"
7,"Resource Development",T1585,"Establish Accounts","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,"Resource Development","T1584.008","Compromise Infrastructure: Network Devices","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,"Resource Development","T1584.005","Compromise Infrastructure: Botnet","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,"Resource Development","T1584.004","Compromise Infrastructure: Server","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,"Resource Development",T1584,"Compromise Infrastructure","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,"Resource Development",T1584,"Compromise Infrastructure","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,"Resource Development","T1583.006","Acquire Infrastructure: Web Services","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,"Resource Development","T1583.005","Acquire Infrastructure: Botnet","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,"Resource Development","T1583.005","Acquire Infrastructure: Botnet","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,"Resource Development","T1583.003","Acquire Infrastructure: Botnet","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
8,"Resource Development","T1583.003","Acquire Infrastructure: Virtual Private Server","10.71",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-075a"
306,"Resource Development","T1583.002","Email Accounts","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
7,"Resource Development","T1583.002","Acquire Infrastructure: DNS Server","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,"Resource Development","T1583.001","Acquire Infrastructure: Domains","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
9,"Resource Development","T1583.001","Acquire Infrastructure: Domains","7.14",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-040a"
305,"Resource Development",T1583,"Establish Accounts","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
7,"Resource Development",T1583,"Acquire Infrastructure","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
9,"Resource Development",T1583,"Acquire Infrastructure","7.14",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a"
182,Discovery,T1580,"Cloud Infrastructure Discovery","1.5","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
87,Discovery,T1580,"Cloud Infrastructure Discovery","1.5","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
10,Discovery,T1580,"Cloud Infrastructure Discovery","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
210,Discovery,T1580,"Cloud Infrastructure Discovery","0.8","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
356,"Defense Evasion","T1578.005","Modify Cloud Compute Infrastructure: Modify Cloud Compute Configurations","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
311,"Defense Evasion","T1578.003","Modify Cloud Compute Infrastructure: Delete Cloud Instance","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
130,"Defense Evasion","T1578.003","Modify Cloud Compute Infrastructure: Delete Cloud Instance","0.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
268,"Defense Evasion","T1578.002","Modify Cloud Compute Infrastructure: Create Cloud Instance","0.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
10,"Defense Evasion","T1578.002","Modify Cloud Compute Infrastructure: Create Cloud Instance","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
280,"Defense Evasion","T1578.002","Modify Cloud Compute Infrastructure: Create Cloud Instance","0.3","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
115,"Defense Evasion","T1578.002","Modify Cloud Compute Infrastructure: Create Cloud Instance","0.5","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
267,"Defense Evasion",T1578,"Modify Cloud Compute Infrastructure","0.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
280,"Defense Evasion",T1578,"Modify Cloud Compute Infrastructure","0.3","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
115,"Defense Evasion",T1578,"Modify Cloud Compute Infrastructure","0.5","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
72,"Persistence
Prvilege Escalation
Defense Evasion","T1574.011","Hijack Execution Flow: Services Registry Permissions Weakness","8.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
57,"Persistence
Prvilege Escalation
Defense Evasion","T1574.011","Hijack Execution Flow: Services Registry Permissions Weakness",6,"M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
134,"Persistence
Prvilege Escalation
Defense Evasion","T1574.011","Hijack Exectuion Flow: Services Registry Permissions Weakness","3.4","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
52,"Persistence
Prvilege Escalation
Defense Evasion","T1574.011","Hijack Exectuion Flow: Services Registry Permissions Weakness","2.2","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
144,"Persistence
Prvilege Escalation
Defense Evasion","T1574.010","Hijack Execution Flow: Services File Permissions Weakness","0.2","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
278,"Persistence
Prvilege Escalation
Defense Evasion","T1574.008","Hijack Execution Flow: Path Interception by Search Order Hijacking","0.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
101,"Persistence
Prvilege Escalation
Defense Evasion","T1574.008","Hijack Execution Flow: Path Interception by Search Order Hijacking","0.9","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
311,"Persistence
Prvilege Escalation
Defense Evasion","T1574.008","Hijack Exectuion Flow: Path Interception by Search Order Hijacking","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
130,"Persistence
Prvilege Escalation
Defense Evasion","T1574.008","Hijack Exectuion Flow: Path Interception by Search Order Hijacking","0.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
42,"Persistence
Prvilege Escalation
Defense Evasion","T1574.008","Hijack Exectuion Flow: Path Interception by Search Order Hijacking","3.52","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
313,"Persistence
Prvilege Escalation
Defense Evasion","T1574.006","Hijack Execution Flow: Dynamic Linker Hijacking","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
144,"Persistence
Prvilege Escalation
Defense Evasion","T1574.005","Hijack Execution Flow: Executable Installer File Permissions Weakness","0.2","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
195,"Persistence
Prvilege Escalation
Defense Evasion","T1574.002","Hijack Execution Flow: DLL Side-Loading","1.1","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
83,"Persistence
Prvilege Escalation
Defense Evasion","T1574.002","Hijack Execution Flow: DLL Side-Loading","1.8","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
6,"Persistence
Prvilege Escalation
Defense Evasion","T1574.002","Hijack Execution Flow: DLL Side-Loading","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
8,"Persistence
Prvilege Escalation
Defense Evasion","T1574.002","Hijack Exectuion Flow: DLL Side-Loading","10.71",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-158a"
199,"Persistence
Prvilege Escalation
Defense Evasion","T1574.002","Hijack Exectuion Flow: DLL Side-Loading","0.9","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,"Persistence
Prvilege Escalation
Defense Evasion","T1574.002","Hijack Exectuion Flow: DLL Side-Loading","7.14",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
75,"Persistence
Prvilege Escalation
Defense Evasion","T1574.002","Hijack Exectuion Flow: DLL Side-Loading","2.4","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
38,"Persistence
Prvilege Escalation
Defense Evasion","T1574.002","Hijack Exectuion Flow: DLL Side-Loading","3.96","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
5,"Persistence
Prvilege Escalation
Defense Evasion","T1574.002","Hijack Exectuion Flow: DLL Side-Loading","12.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
277,"Persistence
Prvilege Escalation
Defense Evasion","T1574.001","Hijack Execution Flow: DLL Search Order Hijacking","0.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
144,"Persistence
Prvilege Escalation
Defense Evasion","T1574.001","Hijack Execution Flow: DLL Search Order Hijacking","0.2","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
5,"Persistence
Prvilege Escalation
Defense Evasion","T1574.001","Hijack Execution Flow: DLL Search Order Hijacking","27.27",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,"Persistence
Prvilege Escalation
Defense Evasion","T1574.001","Hijack Execution Flow: DLL Search Order Hijacking","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,"Persistence
Prvilege Escalation
Defense Evasion","T1574.001","DLL Search Order Hijacking","7.8","Red Canary",2022,Private,"https://resource.redcanary.com/rs/003-YRU-314/images/2022_ThreatDetectionReport_RedCanary.pdf"
280,"Persistence
Prvilege Escalation
Defense Evasion","T1574.001","Hijack Execution Flow: DLL Search Order Hijacking","0.3","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
75,"Persistence
Prvilege Escalation
Defense Evasion","T1574.001","Hijack Execution Flow: DLL Search Order Hijacking","2.4","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
8,"Persistence
Prvilege Escalation
Defense Evasion","T1574.001","Hijack Execution Flow: DLL Search Order Hijacking",5,"Red Canary",2020,Private,"https://issa-centralmd.org/wp-content/uploads/2021-01-27-Red-Canary-Threat-Detection-Report.pdf"
38,"Persistence
Prvilege Escalation
Defense Evasion","T1574.001","Hijack Execution Flow: DLL Search Order Hijacking","3.96","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
