Rank,TID,Technique,Percentage,Reporter,Year,Type,Source
6,T1136,Create Account,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1555,Credentials from Password Stores,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1094,Custom Command and Control,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1024,Custom Cryptographic Protocol,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1213.002,Data from Information Repositories: SharePoint,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1025,Data from Removable Media,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1101,Data Obfuscation,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1001.001,Data Obfuscation: Junk Data,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1074.001,Data Staged: Local Data Staging,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1114.003,Email Collection: Email Forwarding Rule,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1114.002,Email Collection: Remote Email Collection,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1573,Encrypted Channel,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1546.003,Event Triggered Execution: Windows Managment Instrumentation Event Subscription,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1480.001,Execution Guardrails: Environmental Keying,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1211,Exploitation for Defense Evasion,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1068,Exploitation for Privilege Escalation,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1008,Fallback Channels,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1187,Forced Authentication,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1564.003,Hide Artifacts: Hidden Window,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1562.003,Impair Defenses: Impair Command History Logging,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1562.006,Impair Defenses: Indicator Blocking,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1070.001,Indicator Removal on Host: Clear Windows Event Logs,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1202,Indirect Command Execution,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1056,Input Capture,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1559.002,Inter-Process Communication: Dynamic Data Exchange,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T0883,Internet Accessible PLC,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1036,Masquerading,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T0833,Modify Control Logic,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1188,Multi-hop Proxy,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1104,Multi-Stage Channels,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1079,Multilayer Encryption,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1135,Network Share Discovery,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1027.001,Obfuscated Files or Information: Binary Padding,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1137.002,Office Application Startup: Office Test,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1137.004,Office Application Startup: Outlook Home Page,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1003.005,OS Credential Dumping: Cached Domain Credentials,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1003.004,OS Credential Dumping: LSA Secrets,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1003.003,OS Credential Dumping: NTDS,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1003.002,OS Credential Dumping: Security Account Manager,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1201,Password Policy Discovery,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1120,Peripheral Device Discovery,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1069.002,Permission Groups Discovery: Domain Groups,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1069.001,Permission Groups Discovery: Local Groups,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1566.003,Phishing: Spearphishing via Service,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T0836,PLCs,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1542.003,Pre-OS Boot: Bootkit,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1055.001,Process Injection: Dynamic-link Library Injection,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T0843,Program Download,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1572,Protocol Tunneling,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1090.004,Proxy: Domain Fronting,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1021.004,Remote Services: SSH,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1091,Replication through Removable Media,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1053,Scheduled Task/Job,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1053.004,Scheduled Task/Job: Launchd,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1129,Shared Modules,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1518,Software Discovery,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T0869,Standard Application Layer Protocol,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1528,Steal Application Access Token,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1007,System Service Discovery,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1080,Taint Shared Content,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1221,Template Injection,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1552.006,Unsecured Credentials: Group Policy Preferences,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1552.004,Unsecured Credentials: Private Keys,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1550.001,Use Alternate Authentication Material: Application Access Token,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1550.003,Use Alternate Authentication Material: Pass the Ticket,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1204,User Execution,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1078.004,Valid Accounts: Cloud Accounts,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1078.003,Valid Accounts: Local Accounts,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1102,Web Service,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1102.002,Web Service: Bidirectional Communication,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1102.001,Web Service: Dead Drop Resolver,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
6,T1047.001,Windows Management Instrumentation: Registry Run Keys / Startup Folder,6.25,CISA,2020,Public,https://www.cisa.gov/uscert/ncas/alerts/2020
1,T1027,Obfuscated Files or Information,46.15,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
1,T1566.002,Phishing: Spearphishing Link,46.15,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
2,T1140,Deobfuscate/Decode Files or Information,38.46,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
2,T1573.001,Encrypted Channel: Symmetric Cryptography,38.46,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
2,T1133,External Remote Services,38.46,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
3,T1566.001,Phishing: Spearphishing Attachment,30.77,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
3,T1090.003,Proxy: Multi-Hop Proxy,30.77,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
3,T1053.005,Scheduled Task/Job: Scheduled Task,30.77,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
3,T1204.002,User Execution: Malicious File,30.77,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
4,T1059.003,Command and Scripting Interpreter: Windows Command Shell,23.08,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
4,T1041,Exfiltration Over C2 Channel,23.08,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
4,T1190,Exploit Public-Facing Application,23.08,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
4,T1083,File and Directory Discovery,23.08,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
4,T1105,Ingress Tool Transfer,23.08,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
4,T1003.003,OS Credential Dumping: NTDS,23.08,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
4,T1057,Process Discovery,23.08,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
4,T1055.001,Process Injection: Dynamic-link Library Injection,23.08,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
4,T1018,Remote System Discovery,23.08,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
4,T1505.003,Server Software Component: Web Shell,23.08,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
4,T1204.001,User Execution: Malicious Link,23.08,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
5,T1087.002,Account Discovery: Domain Account,15.38,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
5,T1071.001,Application Layer Protocol: Web Protocols,15.38,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
5,T1560,Archive Collected Data,15.38,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
5,T1560.001,Archive Collected Data: Archive via Utility,15.38,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
5,T1059.007,Command and Scripting Interpreter: JavaScript,15.38,CISA,2021,Public,https://www.cisa.gov/uscert/ncas/alerts/2021
