Yr_rank,Overall_rank,TID,Technique,Percentage,Overall_perc,Type,Year,Reporter,Target,Source
3,6,T1071.001,Application Layer Protocol: Web Protocols,25.0,22.73,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-352a
3,6,T1071.001,Application Layer Protocol: Web Protocols,25.0,22.73,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
3,6,T1071.001,Application Layer Protocol: Web Protocols,25.0,22.73,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-266a
3,6,T1071.001,Application Layer Protocol: Web Protocols,25.0,22.73,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-227a
5,6,T1071.001,Application Layer Protocol: Web Protocols,15.3,22.73,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
5,6,T1071.001,Application Layer Protocol: Web Protocols,15.3,22.73,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-048a
3,6,T1071.001,Application Layer Protocol: Web Protocols,28.5,22.73,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-174a
3,6,T1071.001,Application Layer Protocol: Web Protocols,28.5,22.73,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-138b
3,6,T1071.001,Application Layer Protocol: Web Protocols,28.5,22.73,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
3,6,T1071.001,Application Layer Protocol: Web Protocols,28.5,22.73,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-054a
6,15,T1010,Application Window Discovery,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
4,9,T1560,Archive Collected Data,18.7,15.91,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-301a
4,9,T1560,Archive Collected Data,18.7,15.91,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-280a
4,9,T1560,Archive Collected Data,18.7,15.91,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
5,9,T1560,Archive Collected Data,15.3,15.91,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200a
5,9,T1560,Archive Collected Data,15.3,15.91,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
5,9,T1560,Archive Collected Data,14.2,15.91,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-138b
5,9,T1560,Archive Collected Data,14.2,15.91,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
6,15,T1560.003,Archive Collected Data: Archive via Custom Method,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,7,T1560.001,Archive Collected Data: Archive via Utility,6.25,20.45,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,7,T1560.001,Archive Collected Data: Archive via Utility,15.3,20.45,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-336a
5,7,T1560.001,Archive Collected Data: Archive via Utility,15.3,20.45,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-259a
1,7,T1560.001,Archive Collected Data: Archive via Utility,42.8,20.45,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-277a
1,7,T1560.001,Archive Collected Data: Archive via Utility,42.8,20.45,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-257a
1,7,T1560.001,Archive Collected Data: Archive via Utility,42.8,20.45,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-174a
1,7,T1560.001,Archive Collected Data: Archive via Utility,42.8,20.45,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
1,7,T1560.001,Archive Collected Data: Archive via Utility,42.8,20.45,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-074a
1,7,T1560.001,Archive Collected Data: Archive via Utility,42.8,20.45,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
6,15,T1123,Audio Capture,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,15,T0802,Automated Collection,7.14,2.27,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
5,14,T1119,Automated Collection,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,14,T1119,Automated Collection,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
6,15,T1020,Automated Exfiltration,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
6,15,T1197,BITS Jobs,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,15,T0803,Block Command Message,7.14,2.27,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
6,15,T0804,Block Reporting Message,7.14,2.27,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
6,14,T1547,Boot or Logon Autostart Execution,6.25,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-301a
6,14,T1547,Boot or Logon Autostart Execution,7.69,4.55,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-048a
1,7,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,37.5,20.45,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
1,7,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,37.5,20.45,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-301a
1,7,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,37.5,20.45,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-280a
1,7,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,37.5,20.45,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-275a
1,7,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,37.5,20.45,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
1,7,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,37.5,20.45,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-227a
4,7,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,21.4,20.45,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-249a
4,7,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,21.4,20.45,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
4,7,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,21.4,20.45,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
5,14,T1547.009,Boot or Logon Autostart Execution: Shortcut Modification,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,14,T1547.009,Boot or Logon Autostart Execution: Shortcut Modification,12.5,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-227a
6,15,T1037.001,Boot or Logon Initialization Scripts: Logon Script,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,15,T1037.004,Boot or Logon Initialization Scripts: RC Scripts,7.14,2.27,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-054a
6,15,T1217,Browser Bookmark Discovery,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
6,15,T1176,Browser Extensions,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,14,T1185,Browser Session Hijacking,6.25,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-301a
5,12,T1110,Brute Force,12.5,9.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-296a
5,12,T1110,Brute Force,12.5,9.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
6,12,T1110,Brute Force,7.69,9.09,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-265a
6,12,T1110,Brute Force,7.14,9.09,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-047a
6,15,T1110.004,Brute Force: Credential Stuffing,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-258a
6,14,T1110.002,Brute Force: Password Cracking,6.25,4.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,14,T1110.002,Brute Force: Password Cracking,7.14,4.55,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
6,13,T1110.001,Brute Force: Password Guessing,6.25,6.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-280a
6,13,T1110.001,Brute Force: Password Guessing,7.69,6.82,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-008a
6,13,T1110.001,Brute Force: Password Guessing,7.14,6.82,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-074a
5,13,T1110.003,Brute Force: Password Spraying,12.5,6.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,13,T1110.003,Brute Force: Password Spraying,12.5,6.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-275a
6,13,T1110.003,Brute Force: Password Spraying,7.69,6.82,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-008a
5,14,T0858,Change Operating Mode,14.2,4.55,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
5,14,T0858,Change Operating Mode,14.2,4.55,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
5,13,T1115,Clipboard Data,12.5,6.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
5,13,T1115,Clipboard Data,12.5,6.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-227a
6,13,T1115,Clipboard Data,7.69,6.82,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
6,12,T1059,Command and Scripting Interpreter,6.25,9.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
6,12,T1059,Command and Scripting Interpreter,7.69,9.09,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-048a
5,12,T1059,Command and Scripting Interpreter,14.2,9.09,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-277a
5,12,T1059,Command and Scripting Interpreter,14.2,9.09,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-138b
5,13,T1059.007,Command and Scripting Interpreter: JavaScript,15.3,6.82,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
5,13,T1059.007,Command and Scripting Interpreter: JavaScript,15.3,6.82,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
6,13,T1059.007,Command and Scripting Interpreter: JavaScript,7.14,6.82,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
6,15,T1059.008,Command and Scripting Interpreter: Network Device CLI,7.69,2.27,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
1,3,T1059.001,Command and Scripting Interpreter: PowerShell,37.5,29.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
1,3,T1059.001,Command and Scripting Interpreter: PowerShell,37.5,29.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-301a
1,3,T1059.001,Command and Scripting Interpreter: PowerShell,37.5,29.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-280a
1,3,T1059.001,Command and Scripting Interpreter: PowerShell,37.5,29.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-275a
1,3,T1059.001,Command and Scripting Interpreter: PowerShell,37.5,29.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
1,3,T1059.001,Command and Scripting Interpreter: PowerShell,37.5,29.55,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-227a
5,3,T1059.001,Command and Scripting Interpreter: PowerShell,15.3,29.55,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200a
5,3,T1059.001,Command and Scripting Interpreter: PowerShell,15.3,29.55,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
2,3,T1059.001,Command and Scripting Interpreter: PowerShell,35.7,29.55,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-277a
2,3,T1059.001,Command and Scripting Interpreter: PowerShell,35.7,29.55,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-181a
2,3,T1059.001,Command and Scripting Interpreter: PowerShell,35.7,29.55,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-174a
2,3,T1059.001,Command and Scripting Interpreter: PowerShell,35.7,29.55,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
2,3,T1059.001,Command and Scripting Interpreter: PowerShell,35.7,29.55,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
5,11,T1059.006,Command and Scripting Interpreter: Python,12.5,11.36,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,11,T1059.006,Command and Scripting Interpreter: Python,12.5,11.36,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-301a
6,11,T1059.006,Command and Scripting Interpreter: Python,7.69,11.36,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
5,11,T1059.006,Command and Scripting Interpreter: Python,14.2,11.36,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-277a
5,11,T1059.006,Command and Scripting Interpreter: Python,14.2,11.36,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
6,11,T1059.004,Command and Scripting Interpreter: Unix Shell,6.25,11.36,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
5,11,T1059.004,Command and Scripting Interpreter: Unix Shell,15.3,11.36,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
5,11,T1059.004,Command and Scripting Interpreter: Unix Shell,15.3,11.36,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-048a
5,11,T1059.004,Command and Scripting Interpreter: Unix Shell,14.2,11.36,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-138b
5,11,T1059.004,Command and Scripting Interpreter: Unix Shell,14.2,11.36,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-054a
4,12,T1059.005,Command and Scripting Interpreter: Visual Basic,18.7,9.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
4,12,T1059.005,Command and Scripting Interpreter: Visual Basic,18.7,9.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-280a
4,12,T1059.005,Command and Scripting Interpreter: Visual Basic,18.7,9.09,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
6,12,T1059.005,Command and Scripting Interpreter: Visual Basic,7.14,9.09,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
2,5,T1059.003,Command and Scripting Interpreter: Windows Command Shell,31.2,25.00,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
2,5,T1059.003,Command and Scripting Interpreter: Windows Command Shell,31.2,25.00,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-302a
2,5,T1059.003,Command and Scripting Interpreter: Windows Command Shell,31.2,25.00,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-280a
2,5,T1059.003,Command and Scripting Interpreter: Windows Command Shell,31.2,25.00,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-275a
2,5,T1059.003,Command and Scripting Interpreter: Windows Command Shell,31.2,25.00,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-227a
4,5,T1059.003,Command and Scripting Interpreter: Windows Command Shell,23.0,25.00,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-265a
4,5,T1059.003,Command and Scripting Interpreter: Windows Command Shell,23.0,25.00,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
4,5,T1059.003,Command and Scripting Interpreter: Windows Command Shell,23.0,25.00,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
4,5,T1059.003,Command and Scripting Interpreter: Windows Command Shell,21.4,25.00,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-277a
4,5,T1059.003,Command and Scripting Interpreter: Windows Command Shell,21.4,25.00,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
4,5,T1059.003,Command and Scripting Interpreter: Windows Command Shell,21.4,25.00,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
6,15,T0807,Command-Line Interface,7.14,2.27,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
6,15,T0885,Commonly Used Port,6.25,2.27,Public,2020,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa20-205a
6,15,T0885,Commonly Used Port,7.14,2.27,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
6,15,T1043,Commonly Used Port,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-183a
6,15,T1092,Communication through Removable Media,6.25,2.27,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
6,15,T1584.004,Compromise Infrastructure: Server,7.14,2.27,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
5,13,T1136,Create Account,15.3,6.82,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-336a
5,13,T1136,Create Account,15.3,6.82,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-259a
6,14,T1136.002,Create Account: Domain Account,7.69,4.55,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-321a
6,14,T1136.002,Create Account: Domain Account,7.14,4.55,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-257a
6,13,T1136.001,Create Account: Local Account,7.69,6.82,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-321a
5,13,T1136.001,Create Account: Local Account,14.2,6.82,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-257a
5,13,T1136.001,Create Account: Local Account,14.2,6.82,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
6,15,T1543,Create or Modify System Process,7.14,2.27,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-277a
6,15,T1543.004,Create or Modify System Process: Launch Daemon,7.69,2.27,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-048a
2,8,T1543.003,Create or Modify System Process: Windows Service,31.2,18.18,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-352a
2,8,T1543.003,Create or Modify System Process: Windows Service,31.2,18.18,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
2,8,T1543.003,Create or Modify System Process: Windows Service,31.2,18.18,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-280a
2,8,T1543.003,Create or Modify System Process: Windows Service,31.2,18.18,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
5,8,T1543.003,Create or Modify System Process: Windows Service,15.3,18.18,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
5,8,T1543.003,Create or Modify System Process: Windows Service,15.3,18.18,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
5,8,T1543.003,Create or Modify System Process: Windows Service,14.2,18.18,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-249a
5,8,T1543.003,Create or Modify System Process: Windows Service,14.2,18.18,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-223a
6,13,T1555,Credentials from Password Stores,6.25,6.82,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-266a
6,13,T1555,Credentials from Password Stores,7.69,6.82,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
6,13,T1555,Credentials from Password Stores,7.14,6.82,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
3,9,T1555.003,Credentials from Password Stores: Credentials from Web Browsers,25.0,15.91,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
3,9,T1555.003,Credentials from Password Stores: Credentials from Web Browsers,25.0,15.91,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-280a
