Rank,TID,Technique,Percentage,Reporter,Year,Type,Source
95,T1053.005,Scheduled Task/Job: Scheduled Task,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-136a
33,T1053.005,Scheduled Task/Job: Scheduled Task,12.8,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
7,T1055,Process Injection,13.8,Red Canary,2023,Private,https://resource.redcanary.com/rs/003-YRU-314/images/2023_ThreatDetectionReport_RedCanary.pdf
42,T1055,Process Injection,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-158a
15,T1055,Process Injection,23.1,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
32,T1055.001,Process Injection: Dynamic-link Library Injection,15,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-074a
110,T1055.001,Process Injection: Dynamic-link Library Injection,0.7,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
118,T1055.002,Process Injection: Portable Executable Injection,0.5,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
87,T1055.003,Process Injection: Threat Execution Hijacking,1.5,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
118,T1055.004,Process Injection: Asynchronous Procedure Call,0.5,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
118,T1055.012,Process Injection: Process Hollowing,0.5,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
52,T1056,Input Capture,6.8,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
96,T1056.001,Input Capture: Keylogging,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
54,T1056.001,Input Capture: Keylogging,6.6,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
144,T1056.003,Input Capture: Web Portal Capture,0.2,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
97,T1057,Process Discovery,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
21,T1057,Process Discovery,20.7,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
98,T1059,Command and Scripting Interpreter,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
1,T1059,Command and Scripting Interpreter,50.9,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
2,T1059.001,Command and Scripting Interpreter: PowerShell,36.4,Red Canary,2023,Private,https://resource.redcanary.com/rs/003-YRU-314/images/2023_ThreatDetectionReport_RedCanary.pdf
16,T1059.001,Command and Scripting Interpreter: PowerShell,20,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
3,T1059.001,Command and Scripting Interpreter: PowerShell,33.2,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
1,T1059.003,Command and Scripting Interpreter: Windows Command Shell,33.3,Red Canary,2023,Private,https://resource.redcanary.com/rs/003-YRU-314/images/2023_ThreatDetectionReport_RedCanary.pdf
17,T1059.003,Command and Scripting Interpreter: Windows Command Shell,20,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-136a
99,T1059.006,Command and Scripting Interpreter: Python,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-074a
100,T1068,Exploitation for Privilege Escalation,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-158a
42,T1069,Permission Groups Discovery,9.3,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
101,T1069.001,Permission Groups Discovery: Local Groups,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-144a
83,T1069.001,Permission Groups Discovery: Local Groups,1.8,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
18,T1069.002,Permission Groups Discovery: Domain Groups,20,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
57,T1069.002,Permission Groups Discovery: Domain Groups,6,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
101,T1069.003,Permission Groups Discovery: Cloud Groups,0.9,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
43,T1070,Indicator Removal on Host,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-144a
5,T1070,Indicator Removal on Host,31.5,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
33,T1070.001,Indicator Removal: Clear Windows Event Logs,15,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-061a
19,T1070.004,Indicator Removal: File Deletion,20,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-074a
11,T1070.004,Indicator Removal: File Deletion,25.2,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
102,T1070.006,Indicator Removal: Timestomp,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-074a
20,T1071,Application Layer Protocol,20,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
4,T1071,Application Layer Protocol,33.1,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
14,T1071.001,Application Layer Protocol: Web Protocols,24.3,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
34,T1071.002,Application Layer Protocol: File Transfer Protocols,15,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
103,T1071.003,Application Layer Protocol: Mail Protocols,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
104,T1071.004,Application Layer Protocol: DNS,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
44,T1072,Software Deployment Tools,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-075a
45,T1074,Data Staged,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
68,T1074,Data Staged,3.8,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
73,T1074.001,Data Staged: Local Data Staging,3.1,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
127,T1074.002,Data Staged: Remote Data Staging,0.4,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
21,T1078,Valid Accounts,20,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-075a
42,T1078,Valid Accounts,9.3,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
105,T1078.001,Valid Accounts: Default Accounts,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-108
46,T1078.002,Valid Accounts: Domain Accounts,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
22,T1082,System Information Discovery,20,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-075a
6,T1082,System Information Discovery,31.3,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
23,T1083,File and Directory Discovery,20,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-040a
7,T1083,File and Directory Discovery,29.3,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
144,T1086,Exploitation for Privilege Escalation,0.2,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
23,T1087,Account Discovery,18.3,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
62,T1087.001,Account Discovery: Local Account,5.1,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
47,T1087.002,Account Discovery: Domain Account,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
61,T1087.002,Account Discovery: Domain Account,5.5,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
127,T1087.003,Account Discovery: Email Account,0.4,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
101,T1087.004,Account Discovery: Cloud Account,0.9,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
106,T1090,Proxy,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-144a
107,T1090.001,Proxy: Internal Proxy ,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-201a
48,T1090.002,Proxy: External Proxy,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
108,T1090.003,Proxy: Multi-Hop Proxy,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
109,T1090.004,Proxy: Domain Fronting,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
110,T1091,Replication Through Removable Media,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
87,T1091,Replication Through Removable Media,1.5,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
24,T1095,Non-Application Layer Protocol,20,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-074a
49,T1098,Account Manipulation,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
30,T1098,Account Manipulation,14.1,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
110,T1098.001,Account Manipulation: Additional Cloud Credentials,0.7,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
118,T1098.002,Account Manipulation: Additional Email Delegate Permissions,0.5,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
96,T1098.004,Account Manipulation: SSH Authorized Keys,1.1,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
87,T1098.005,Account Manipulation: Device Registration,1.5,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
111,T1104,Multi-Stage Channels,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
6,T1105,Ingress Tool Transfer,19,Red Canary,2023,Private,https://resource.redcanary.com/rs/003-YRU-314/images/2023_ThreatDetectionReport_RedCanary.pdf
2,T1105,Ingress Tool Transfer,40,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
12,T1105,Ingress Tool Transfer,24.9,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
50,T1106,Native API,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
51,T1110,Brute Force,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-144a
112,T1110.002,Brute Force: Password Cracking,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
113,T1110.003,Brute Force: Password Spraying,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-144a
35,T1112,Modify Registry,15,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
52,T1113,Screen Capture,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-158a
62,T1113,Screen Capture,5.1,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
68,T1114,Email Collection,3.8,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
118,T1114.001,Email Collection: Local Email Collection,0.5,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
87,T1114.002,Email Collection: Remote Email Collection,1.5,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
127,T1114.003,Email Collection: Email Forwarding Rule,0.4,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
114,T1115,Clipboard Data,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-136a
64,T1115,Clipboard Data,4.9,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
53,T1119,Automated Collection,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-061a
127,T1119,Automated Collection,0.4,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
144,T1120,Peripheral Device Discovery,0.2,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
115,T1124,System Time Discovery ,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
127,T1124,System Time Discovery,0.4,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
144,T1125,Video Capture,0.2,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
54,T1129,Shared Modules,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-158a
116,T1132,Data Encoding,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
117,T1132.002,Data Encoding: Non-Standard Encoding,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
6,T1133,External Remote Services,25,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-025a
34,T1133,External Remote Services,12.6,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
27,T1134,Access Token Manipulation,16.3,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
49,T1134.001,Access Token Manipulation: Token Inpersonation Theft,8.1,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
127,T1134.002,Access Token Manipulation: Create Process with Token,0.4,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
127,T1134.004,Access Token Manipulation: Parent PID Spoofing,0.4,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
55,T1135,Network Share Discovery,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
41,T1135,Network Share Discovery,9.7,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
44,T1136,Create Account,9.2,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
56,T1136.001,Create Account: Local Account,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
70,T1136.001,Create Account: Local Account,3.8,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
118,T1136.002,Create Account: Domain Account,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
110,T1136.002,Create Account: Domain Account,0.7,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
110,T1136.003,Create Account: Cloud Account,0.7,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
144,T1137,Office Application Startup,0.2,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
57,T1140,Deobfuscate/Decode Files or Information,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-074a
8,T1140,Deobfuscate/Decode Files or Information,27.3,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
144,T1176,Browser Extensions,0.2,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
36,T1189,Drive-by Compromise,15,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-075a
66,T1189,Drive-by Compromise,4.6,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
1,T1190,Exploit Public-Facing Application,60,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-061a
19,T1190,Exploit Public-Facing Application,21.2,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
119,T1195,Supply Chain Compromise,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-040a
144,T1195,Supply Chain Compromise,0.2,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
144,T1195.002,Supply Chain Compromise: Compromise Software Supply Chain,0.2,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
78,T1199,Trusted Relationship,2.4,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
127,T1200,Hardware Additions,0.4,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
127,T1201,Password Policy Discovery,0.4,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
120,T1203,Exploitation for Client Execution,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-039a
121,T1204,User Execution,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
122,T1204.001,User Execution: Malicious Link,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
123,T1204.002,User Execution: Malicious File,5,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
58,T1210,Exploitation of Remote Services,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-131a
38,T1213,Data from Information Repositories,10.4,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
101,T1213.001,Data from Information Repositories: Confluence,0.9,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
72,T1213.002,Data from Information Repositories: Sharepoint,3.5,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
86,T1213.003,Data from Information Repositories: Code Repositories,1.6,M-Trends,2023,Private,https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report
5,T1218.11,Rundll32,14.6,Red Canary,2023,Private,https://resource.redcanary.com/rs/003-YRU-314/images/2023_ThreatDetectionReport_RedCanary.pdf
59,T1219,Remote Access Software,10,CISA,2023,Public,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-136a
