TID,Technique,Type,Year,Reporter,Target,Source
T0886,Remote Services,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0888,Remote System Information Discovery,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T0888,Remote System Information Discovery,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0889,Modify Program,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-103a
T0890,Exploitation for Privilege Escalation,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T1001,Data Obfuscation,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
T1001.001,Data Obfuscation: Junk Data,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1001.003,Data Obfuscation: Protocol Impersonation,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200a
T1001.003,Data Obfuscation: Protocol Impersonation,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
T1003,OS Credential Dumping,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-259a
T1003,OS Credential Dumping,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-336a
T1003,OS Credential Dumping,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
T1003,OS Credential Dumping,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-144a
T1003,OS Credential Dumping,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-165a
T1003,OS Credential Dumping,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
T1003,OS Credential Dumping,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-301a
T1003,OS Credential Dumping,Public,2022,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-294a
T1003.001,OS Credential Dumping: LSASS Memory,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
T1003.001,OS Credential Dumping: LSASS Memory,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-075a
T1003.001,OS Credential Dumping: LSASS Memory,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-136a
T1003.001,OS Credential Dumping: LSASS Memory,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-165a
T1003.001,OS Credential Dumping: LSASS Memory,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
T1003.001,OS Credential Dumping: LSASS Memory,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-258a
T1003.001,OS Credential Dumping: LSASS Memory,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-280a
T1003.001,OS Credential Dumping: LSASS Memory,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1003.001,OS Credential Dumping: LSASS Memory,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
T1003.001,OS Credential Dumping: LSASS Memory,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-291a
T1003.001,OS Credential Dumping: LSASS Memory,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
T1003.001,OS Credential Dumping: LSASS Memory,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T1003.001,OS Credential Dumping: LSASS Memory,Public,2022,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-320a
T1003.001,OS Credential Dumping: LSASS Memory,Public,2022,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-335a
T1003.002,OS Credential Dumping: Security Account Manager,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1003.003,OS Credential Dumping: NTDS,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
T1003.003,OS Credential Dumping: NTDS,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-259a
T1003.003,OS Credential Dumping: NTDS,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-336a
T1003.003,OS Credential Dumping: NTDS,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-054a
T1003.003,OS Credential Dumping: NTDS,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-074a
T1003.003,OS Credential Dumping: NTDS,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T1003.003,OS Credential Dumping: NTDS,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-136a
T1003.003,OS Credential Dumping: NTDS,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-144a
T1003.003,OS Credential Dumping: NTDS,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1003.004,OS Credential Dumping: LSA Secrets,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
T1003.004,OS Crednetial Dumping: LSA Secrets,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1003.005,OS Credential Dumping: Cached Domain Credentials,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
T1003.005,OS Credential Dumping: Cached Domain Credentials,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1003.006,OS Credential Dumping: DCSync,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
T1003.008,OS Credential Dumping: /etc/passwd and /etc/shadow,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-138b
T1005,Data from Local System,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
T1005,Data from Local System,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1005,Data from Local System,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
T1005,Data from Local System,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-201a
T1005,Data from Local System,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
T1005,Data from Local System,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T1007,System Service Discovery,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
T1007,System Service Discovery,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-291a
T1007,System Service Discovery,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1008,Fallback Channels,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
T1008,Fallback Channels,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-054a
T1008,Fallback Channels,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1010,Application Window Discovery,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
T1012,Query Registry,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
T1012,Query Registry,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1012,Query Registry,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-352a
T1012,Query Registry,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-136a
T1014,Rootkit,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
T1014,Rootkit,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1014,Rootkit,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
T1016,System Network Configuration Discovery,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-227a
T1016,System Network Configuration Discovery,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
T1016,System Network Configuration Discovery,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-266a
T1016,System Network Configuration Discovery,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-275a
T1016,System Network Configuration Discovery,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-302a
T1016,System Network Configuration Discovery,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1016,System Network Configuration Discovery,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
T1016,System Network Configuration Discovery,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-074a
T1016,System Network Configuration Discovery,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-144a
T1016,System Network Configuration Discovery,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
T1016,System Network Configuration Discovery,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-201a
T1016,System Network Configuration Discovery,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
T1016,System Network Configuration Discovery,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T1016,System Network Configuration Discovery,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-277a
T1016,System Network Configuration Discovery,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
T1016,System Network Configuration Discovery,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-265a
T1016.001,System Network Configuration Discovery: Internet Connection Discovery,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-277a
T1016.001,System Network Configuration Discovery: Internet Connection Discovery,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-201a
T1016.001,System Network Configuration Discovery: Internet Connection Discovery,Public,2022,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-320a
T1018,Remote System Discovery,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
T1018,Remote System Discovery,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
T1018,Remote System Discovery,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-291a
T1018,Remote System Discovery,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
T1018,Remote System Discovery,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-136a
T1018,Remote System Discovery,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-158a
T1018,Remote System Discovery,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-201a
T1018,Remote System Discovery,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-074a
T1018,Remote System Discovery,Public,2022,CISA,ICS,https://www.cisa.gov/uscert/ncas/alerts/aa22-083a
T1018,Remote System Discovery,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-275a
T1018,Remote System Discovery,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1018,Remote System Discovery,Public,2022,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-320a
T1020,Automated Exfiltration,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
T1021,Remote Services,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-107a
T1021,Remote Services,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
T1021,Remote Services,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-040a
T1021.001,Remote Services: Remote Desktop Protocol,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-061a
T1021.001,Remote Services: Remote Desktop Protocol,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-075a
T1021.001,Remote Services: Remote Desktop Protocol,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-136a
T1021.001,Remote Services: Remote Desktop Protocol,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-165a
T1021.001,Remote Services: Remote Desktop Protocol,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
T1021.001,Remote Services: Remote Desktop Protocol,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-301a
T1021.001,Remote Services: Remote Desktop Protocol,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1021.001,Remote Services: Remote Desktop Protocol,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-174a
T1021.001,Remote Services: Remote Desktop Protocol,Public,2022,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-320a
T1021.002,Remote Services: SMB/Windows Admin Shares,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-265a
T1021.002,Remote Services: SMB/Windows Admin Shares,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-291a
T1021.002,Remote Services: SMB/Windows Admin Shares,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a
T1021.002,Remote Services: SMB/Windows Admin Shares,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-158a
T1021.002,Remote Services: SMB/Windows Admin Shares,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-165a
T1021.002,Remote Services: SMB/Windows Admin Shares,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
T1021.002,Remote Services: SMB/Windows Admin Shares,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-280a
T1021.002,Remote Services: SMB/Windows Admin Shares,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-277a
T1021.004,Remote Services: SSH,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1024,Custom Cryptographic Protocol,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-183a
T1025,Data from Removable Media,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1027,Obfuscated Files or Information,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-048a
T1027,Obfuscated Files or Information,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
T1027,Obfuscated Files or Information,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200b
T1027,Obfuscated Files or Information,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-259a
T1027,Obfuscated Files or Information,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-265a
T1027,Obfuscated Files or Information,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-336a
T1027,Obfuscated Files or Information,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
T1027,Obfuscated Files or Information,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-266a
T1027,Obfuscated Files or Information,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-275a
T1027,Obfuscated Files or Information,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-280a
T1027,Obfuscated Files or Information,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-352a
T1027,Obfuscated Files or Information,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-075a
T1027,Obfuscated Files or Information,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
T1027,Obfuscated Files or Information,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-165a
T1027,Obfuscated Files or Information,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
T1027,Obfuscated Files or Information,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-054a
T1027,Obfuscated Files or Information,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
T1027.001,Obfuscated Files or Information: Binary Padding,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
T1027.001,Obfuscated Files or Information: Binary Padding,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1027.002,Obfuscated Files or Information: Software Packing,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-266a
T1027.002,Obfuscated Files or Information: Software Packing,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-280a
T1027.002,Obfuscated Files or Information: Software Packing,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1027.002,Obfuscated Files or Information: Software Packing,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a
T1027.002,Obfuscated Files or Information: Software Packing,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-165a
T1027.002,Obfuscated Files or Information: Software Packing,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-076a
T1027.003,Obfuscated Files or Information: Steganography,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1027.003,Obfuscated Files or Information: Steganography,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-352a
T1027.003,Obfuscated Files or Information: Steganography,Public,2021,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa21-200a
T1027.003,Obfuscated Files or Information: Steganography,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
T1027.004,Ofbuscated Files or Information: Compile After Delivery,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-055a
T1027.005,Obfuscated Files or Information: Indicator Removal from Tools,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-239a
T1027.005,Obfuscated Files or Information: Indicator Removal from Tools,Public,2020,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa20-336a
T1027.009,Obfuscated Files or Information: Embedded Payloads ,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
T1029,Schedule Transfer,Public,2022,CISA,Enterprise,https://www.cisa.gov/uscert/ncas/alerts/aa22-277a
T1029,Schedule Transfer,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
T1030,Data Transfer Size Limits ,Public,2023,CISA,Enterprise,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-187a
